timestamp,elapsed_sec,sum_next_o_id
2026-04-25 17:48:50,511,33528123
2026-04-25 17:48:51,512,33532427
2026-04-25 17:48:53,514,33536636
2026-04-25 17:48:54,515,33540823
2026-04-25 17:48:55,516,33545038
2026-04-25 17:48:56,517,33549307
2026-04-25 17:48:57,518,33553556
2026-04-25 17:48:58,519,33557815
2026-04-25 17:49:00,521,33562077
2026-04-25 17:49:01,522,33566317
2026-04-25 17:49:02,523,33570541
2026-04-25 17:49:03,524,33574745
2026-04-25 17:49:04,525,33578925
2026-04-25 17:49:06,527,33583207
2026-04-25 17:49:07,528,33587425
2026-04-25 17:49:08,529,33591528
2026-04-25 17:49:09,530,33595803
2026-04-25 17:49:10,531,33599880
2026-04-25 17:49:12,533,33604102
2026-04-25 17:49:13,534,33608416
2026-04-25 17:49:14,535,33612652
2026-04-25 17:49:15,536,33616943
2026-04-25 17:49:16,537,33621130
2026-04-25 17:49:18,539,33625304
2026-04-25 17:49:19,540,33629568
2026-04-25 17:49:20,541,33633741
2026-04-25 17:49:21,542,33637893
2026-04-25 17:49:22,543,33641997
2026-04-25 17:49:24,545,33646134
2026-04-25 17:49:25,546,33650193
2026-04-25 17:49:26,547,33654248
2026-04-25 17:49:27,548,33658260
2026-04-25 17:49:28,549,33662161
2026-04-25 17:49:30,551,33666103
2026-04-25 17:49:31,552,33670126
2026-04-25 17:49:32,553,33674328
2026-04-25 17:49:33,554,33678452
2026-04-25 17:49:35,556,33682676
2026-04-25 17:49:36,557,33686786
2026-04-25 17:49:37,558,33690906
2026-04-25 17:49:38,559,33694947
2026-04-25 17:49:39,560,33698699
2026-04-25 17:49:41,562,33702516
2026-04-25 17:49:42,563,33706287
2026-04-25 17:49:43,564,33710103
2026-04-25 17:49:44,565,33713928
2026-04-25 17:49:45,566,33717873
2026-04-25 17:49:47,568,33721857
2026-04-25 17:49:48,569,33725927
2026-04-25 17:49:49,570,33729955
2026-04-25 17:49:50,571,33733751
2026-04-25 17:49:52,573,33737625
2026-04-25 17:49:53,574,33741499
2026-04-25 17:49:54,575,33745526
2026-04-25 17:49:55,576,33749742
2026-04-25 17:49:57,578,33753834
2026-04-25 17:49:58,579,33757974
2026-04-25 17:49:59,580,33762202
2026-04-25 17:50:00,581,33766376
2026-04-25 17:50:02,583,33770563
2026-04-25 17:50:03,584,33774644
2026-04-25 17:50:04,585,33778235
2026-04-25 17:50:05,586,33782006
2026-04-25 17:50:06,587,33786025
2026-04-25 17:50:08,589,33790194
2026-04-25 17:50:09,590,33794395
2026-04-25 17:50:10,591,33798543
2026-04-25 17:50:11,592,33802778
2026-04-25 17:50:13,594,33807054
2026-04-25 17:50:14,595,33811244
2026-04-25 17:50:15,596,33815121
2026-04-25 17:50:16,597,33819372
2026-04-25 17:50:17,598,33823691
2026-04-25 17:50:19,600,33827920
2026-04-25 17:50:20,601,33832193
2026-04-25 17:50:21,602,33836437
2026-04-25 17:50:22,603,33840713
2026-04-25 17:50:24,605,33845053
2026-04-25 17:50:25,606,33849535
2026-04-25 17:50:26,607,33854174
2026-04-25 17:50:27,608,33858712
2026-04-25 17:50:29,610,33863278
2026-04-25 17:50:30,611,33867812
2026-04-25 17:50:31,612,33872317
2026-04-25 17:50:32,613,33876881
2026-04-25 17:50:33,614,33881407
2026-04-25 17:50:35,616,33886014
2026-04-25 17:50:36,617,33890710
2026-04-25 17:50:37,618,33895396
2026-04-25 17:50:38,619,33900129
2026-04-25 17:50:40,621,33904765
2026-04-25 17:50:41,622,33909422
2026-04-25 17:50:42,623,33914220
2026-04-25 17:50:43,624,33919010
2026-04-25 17:50:44,625,33923816
2026-04-25 17:50:46,627,33928720
2026-04-25 17:50:47,628,33933504
2026-04-25 17:50:48,629,33938193
2026-04-25 17:50:49,630,33943011
2026-04-25 17:50:51,632,33947776
2026-04-25 17:50:52,633,33952487
2026-04-25 17:50:53,634,33957180
2026-04-25 17:50:54,635,33961907
2026-04-25 17:50:55,636,33966718
2026-04-25 17:50:57,638,33971481
2026-04-25 17:50:58,639,33976324
2026-04-25 17:50:59,640,33981169
2026-04-25 17:51:00,641,33985965
2026-04-25 17:51:02,643,33990718
2026-04-25 17:51:03,644,33995426
2026-04-25 17:51:04,645,34000210
2026-04-25 17:51:05,646,34004913
2026-04-25 17:51:06,647,34009783
2026-04-25 17:51:08,649,34014542
2026-04-25 17:51:09,650,34019181
2026-04-25 17:51:10,651,34023883
2026-04-25 17:51:11,652,34028608
2026-04-25 17:51:13,654,34033381
2026-04-25 17:51:14,655,34038217
2026-04-25 17:51:15,656,34042997
2026-04-25 17:51:16,657,34047699
2026-04-25 17:51:17,658,34052410
2026-04-25 17:51:19,660,34057055
2026-04-25 17:51:20,661,34061684
2026-04-25 17:51:21,662,34066383
2026-04-25 17:51:22,663,34071139
